ID_plant,area_sla_leaves
2,9611.707
3,9423.626
5,10047.822
6,9824.473
11,12584.726
12,10909.423
13,14661.286
14,16356.815
18,999999
20,10745.281
21,8675.173
23,10890.059
24,6365.298
25,12501.28
28,10759.004
31,10215.906
33,14092.248
34,8380.597
35,11453.288
36,9877.712
37,13025.253
39,13601.135
40,10273.334
41,10327.183
42,13396.429
44,9243.05
45,11035.051
46,7307.604
50,9707.445
51,9860.214
52,12126.325
54,10379.017
56,9699.795
57,8581.36
58,10781.32
61,15326
63,13927.879
64,13998.584
65,9645.164
67,8837.956
68,11190.162
69,11500.731
70,14114.834
72,12401.959
75,10971.997
77,7507.553
80,9189.367
81,10715.193
84,9058.398
85,9605.306
86,13953.001
87,9694.221
88,10319.735
89,10964.328
92,10121.802
93,11643.614
95,12568.935
96,13383.166
97,10863.934
98,8116.581
99,8991.484
100,7141.444
101,12292.978
102,16343.191
103,9964.493
104,13050.879
106,7359.66
107,10379.588
109,10991.225
110,10926.51
111,9644.655
112,9939.781
114,12220.203
116,7330.488
118,12654.025
119,8434.746
120,10052.561