"ID_plant","phytotron","water_treatment","date","long_Shist","diam_Shist","long_Sphl","diam_Sphl","TW_plant_kg","FW_Sphl","FW_SNSC","FW_Shist","FW_L1phl","FW_L2phl","FW_L3phl","FW_10LNSC","FW_10LSLA","FW_rootNSC","FW_S","FW_L","FW_root","FW_ss_soil","FW_soil_pot_kg","SW_L1phl","SW_L2phl","SW_L3phl","DW_L1phl","DW_L2phl","DW_L3phl","DW_10LSLA","DW_S","DW_L","DW_root","DW_ss_soil","DW_soil","W_pot","OBS","height_cm","stem_width_1_cm","stem_width_2_cm","branching","initial_height_cm","initial_stem_width_1_cm","initial_stem_width_2_cm","initial_branching","area"
64,2,"control",20210607,1.09,1.17,6.91,1.3,6.2525,9.972,3.5625,1.1951,0.1799,0.1524,0.1703,0.8387,1.4415,5.6625,64.87,27.1,113.85,NA,5.94,0.181,0.1542,0.1722,0.0842,0.0707,0.0775,0.7183,32.29,12.7,38.41,NA,4548.53,250.63,"nothing",118,1.39,"1.33",27,117,1.05,1.11,28,13998.584
65,2,"control",20210525,NA,NA,8.52,1.26,6.1193,8.2372,2.4562,NA,0.1241,0.1277,0.1146,1.0413,0.8823,4.8111,49.13,15.12,NA,301.78,NA,0.1271,0.13,0.1163,0.0541,0.0573,0.0517,0.23,21.91,6.37,NA,213.78,NA,NA,"nothing",122,1.42,"1.42",25,121,1.21,1.28,25,9645.164
67,1,"initial_state",20210505,NA,NA,NA,NA,6.561,11.1776,2.3648,NA,0.1481,0.139,0.1201,1.2003,0.814,NA,50.35,24.05,84.67,247.13,NA,0.1565,0.1534,0.1268,0.0681,0.0639,0.055,0.365,23.38,10.36,24.7,178.26,NA,NA,"nothing",116,1.27,"1.22",26,113,1.19,1.26,18,8837.956
68,1,"control",20210601,NA,NA,9.96,1.33,6.678,15.8778,3.546,NA,0.1359,0.1443,0.1039,0.6625,1.1495,6.3487,70.65,20.13,67.83,NA,6.255,0.1375,0.1458,0.1055,0.0685,0.0723,0.05,0.5774,35.45,9.93,20.68,NA,3944.31,254.26,"nothing",125,1.45,"1.44",26,125,1.26,1.22,28,11190.162
69,1,"drought",20210527,NA,NA,11.23,1.24,6.3515,15.4806,3.2945,NA,0.1273,0.1076,0.0826,0.7254,0.968,3.6717,65.58,14.86,91.71,NA,6.1145,0.1289,0.1092,0.0838,0.0629,0.054,0.041,0.4996,32.68,7.28,27.66,NA,5007.76,247.87,"DW_L1phl fue pesado tras haber pasado 3 días metida en el sobre en el fitotrón (perdida) y 24 horas en la estufa",131,1.5,"1.5",19,131,1.37,1.26,18,11500.731
70,1,"control",20210518,1.38,1.12,10.73,0.98,6.995,9.8185,2.3133,1.4707,0.1368,0.1463,0.12,1.1315,1.204,3.4264,41.45,13.07,NA,221.2,NA,0.1437,0.1499,0.1237,0.0627,0.0683,0.0566,0.5643,18.49,5.84,NA,167.23,NA,NA,"nothing",127,1.1,"1.05",18,127.5,0.94,0.99,18,14114.834
72,1,"initial_state",20210505,NA,NA,NA,NA,6.3985,7.5821,2.2578,NA,0.1439,0.1217,0.1338,1.0133,1.1624,NA,35.33,13.97,50.91,197.94,NA,0.1563,0.131,0.1422,0.0654,0.057,0.0626,0.554,16.37,6.32,15.23,138.32,NA,255.21,"nothing",110,1.16,"1.16",29,114,1,1.01,29,12401.959
75,2,"drought",20210527,NA,NA,1.21,7.85,5.8955,9.5272,1.6106,NA,NA,NA,NA,NA,0.8964,NA,45.88,13.68,58.89,NA,5.7525,NA,NA,NA,NA,NA,NA,0.4442,23.99,6.79,23.31,NA,4803.4,244.74,"Subset de pesada del día 27/05",118,1.24,"1.29",22,124,1.23,1.14,27,10971.997
77,2,"drought",20210602,NA,NA,6.68,1.15,6.3325,7.5243,4.4583,NA,0.094,0.0954,0.061,0.8544,0.7139,4.1041,37.55,10.13,63.35,NA,6.186,0.097,0.0969,0.0642,0.0463,0.0472,0.0294,0.3462,18.51,4.24,21.05,NA,5043.64,256.15,"nothing",109,1.54,"1.45",21,108,1.38,1.41,22,7507.553
80,2,"control",20210607,1.06,1.46,8.91,1.13,7.1995,11.1153,3.4344,1.8799,0.0965,0.1044,0.0954,0.7569,0.9293,5.2951,56.42,13.47,56.85,NA,6.9895,0.0983,0.1079,0.0966,0.0407,0.047,0.0429,0.4541,28.91,6.12,19.22,NA,4686.94,260.27,"nothing",118,1.33,"1.32",19,111,1.22,1.24,12,9189.367
81,2,"moderate drought",20210608,NA,NA,9.75,1.26,6.2125,13.7837,3.667,NA,0.138,0.1238,0.1036,0.9507,1.042,3.8864,64.61,18.67,NA,252.11,NA,0.1404,0.1281,0.1071,0.0699,0.0593,0.0499,0.4885,30.18,8.72,NA,204.16,NA,NA,"nothing",114,1.29,"1.36",28,114,1.12,1.1,28,10715.193
84,2,"initial_state",20210504,NA,NA,NA,NA,6.59,6.2517,2.0945,NA,0.2493,0.1936,0.1247,1.0804,0.969,NA,51.78,25.33,77.36,388.08,NA,0.2274,0.2001,0.1288,0.1104,0.0847,0.0552,0.4268,19.16,6.01,20.84,268.11,NA,NA,"nothing",118,1.04,"1.07",22,118,1.05,1.2,22,9058.398
85,1,"drought",20210520,1.41,1.25,8.23,1.32,5.966,12.9612,5.1366,2.1084,0.1588,0.1505,0.1586,1.0567,0.926,5.951,76.58,21.8,NA,266.33,NA,0.1716,0.1637,0.162,0.0773,0.0724,0.0773,0.4411,38.56,10.15,NA,206.06,NA,NA,"SW_L3phl: no se lee bien el número escrito en el estadillo",115,1.5,"1.5",20,108,1.47,1.36,17,9605.306
86,2,"control",20210525,NA,NA,8.7,1.22,6.3775,12.5491,3.1248,NA,0.2578,0.208,0.2233,1.6683,1.353,5.3121,58.03,21.63,NA,250.44,NA,0.2641,0.2128,0.228,0.1115,0.0897,0.0927,0.42,27.2,8.72,NA,183.9,NA,NA,"nothing",114,1.43,"1.43",21,112,1.28,1.29,22,13953.001
87,1,"initial_state",20210505,NA,NA,NA,NA,6.8825,12.5049,5.9951,NA,0.1942,0.1807,0.1853,1.5975,0.9603,NA,72.95,26.86,123.12,238.3,NA,0.2217,0.2075,0.2025,0.0889,0.0839,0.0841,0.4445,37.25,11.85,42.16,174.61,NA,NA,"nothing",132,1.67,"1.67",24,128,1.65,1.65,20,9694.221
88,2,"control",20210525,NA,NA,6.41,1.17,6.9355,9.0853,4.3255,NA,0.1092,0.1225,0.0953,0.6359,0.9057,5.4505,56.47,22.59,NA,323.67,NA,0.1122,0.1265,0.0978,0.0507,0.0581,0.0452,0.3594,30.4,10.54,NA,227.69,NA,NA,"nothing",116,1.59,"1.59",25,118,1.39,1.41,24,10319.735
89,1,"control",20210610,1.54,1.07,9.53,1.33,7.531,13.2088,4.5381,1.5866,0.1387,0.0831,0.096,1.0391,1.0478,4.7099,56.13,19.58,71.94,NA,7.1345,0.1402,0.0843,0.0976,0.0702,0.0421,0.0478,0.5599,27.94,10.5,22.73,NA,4738.09,254.94,"El día del muestreo destructivo tenía agua en el plato",125,1.34,"1.3",23,119.5,1.1,1.09,21,10964.328
92,2,"drought",20210519,1.28,1.02,7.94,1.14,6.905,9.0732,2.3056,1.1432,0.1194,0.1076,0.1014,1.0414,0.9951,3.0975,54.73,17.33,NA,236.55,NA,0.1256,0.1111,0.1059,0.0563,0.0414,0.0465,0.4591,24.49,7.97,NA,188.67,NA,NA,"nothing",127,1.39,"1.35",23,124,1.34,1.27,23,10121.802
93,1,"moderate drought",20210609,NA,NA,9.55,1.54,6.556,20.3642,7.5142,NA,0.2212,0.161,0.0844,1.0135,0.987,4.9543,73.77,19.24,NA,183,NA,0.2232,0.1625,0.0844,0.11,0.0799,0.0421,0.4972,36.88,9.69,NA,141.95,NA,NA,"nothing",131,1.97,"1.74",27,127.5,1.63,1.69,27,11643.614
95,2,"initial_state",20210504,NA,NA,NA,NA,6.8641,12.1932,1.5425,NA,0.1382,0.1079,0.0835,1.1614,1.133,NA,61.19,36.02,100.7,150.06,NA,0.1395,0.1092,0.0846,0.0582,0.0451,0.0359,0.468,23.11,9.7,29.38,118.94,NA,NA,"nothing",127,1.35,"1.36",29,126,1.27,1.34,30,12568.935
96,1,"control",20210525,NA,NA,8.32,1.17,6.5875,10.8114,5.2756,NA,0.2329,0.2026,0.2073,1.1026,1.2789,9.9343,60.44,19.46,NA,249.98,NA,0.2385,0.206,0.2107,0.1048,0.0938,0.0973,0.5423,27.83,9.01,NA,181.18,NA,NA,"nothing",122,1.38,"1.37",16,119,1.22,1.22,13,13383.166
97,2,"drought",20210526,NA,NA,10.47,0.97,6.0865,8.5713,2.4707,NA,0.11,0.1336,0.1195,1.0031,0.83,3.9581,41.5,15.55,NA,262.12,NA,0.1121,0.137,0.1245,0.0507,0.06,0.054,0.4687,20.13,6.79,NA,216.61,NA,NA,"nothing",123,1.09,"1.01",22,122,0.92,0.9,23,10863.934
98,2,"drought",20210519,0.99,1.28,8.8,1.3,6.185,13.1062,3.8695,1.0427,0.1231,0.1224,0.1007,0.9021,0.6626,3.1048,74.6,22.66,NA,239.99,NA,0.128,0.1244,0.1046,0.0553,0.0529,0.0451,0.2897,36.08,9.74,NA,189.04,NA,NA,"nothing",144,1.59,"1.63",25,142,1.69,1.47,36,8116.581
99,2,"drought",20210526,NA,NA,7.99,1.19,5.807,9.7138,3.173,NA,0.1458,0.12,0.1296,0.7126,0.8121,3.9812,51.84,15.9,NA,313.13,NA,0.1498,0.1231,0.1336,0.0658,0.0538,0.0597,0.3722,25.47,6.69,NA,270.67,NA,NA,"nothing",122,1.33,"1.3",23,125,1.21,1.18,23,8991.484
100,2,"drought",20210526,NA,NA,9.9,1.2,5.5795,11.6036,3.9784,NA,0.0786,0.0874,0.065,0.4986,0.6071,5.243,50.82,18.42,NA,303.27,NA,0.0845,0.0937,0.0671,0.0374,0.0426,0.0286,0.285,25.18,8.5,NA,261.92,NA,NA,"nothing",118,1.43,"1.28",24,120,1.3,1.2,26,7141.444
101,1,"drought",20210603,NA,NA,9.48,1.23,5.61,11.6251,5.257,NA,0.1859,0.166,0.1332,0.9942,1.1431,4.423,59.04,14.35,87.37,NA,5.4205,0.1925,0.1725,0.1378,0.0881,0.0784,0.064,0.5695,30.83,7.09,27.49,NA,4582.73,241.23,"nothing",131,1.44,"1.42",25,128,1.25,1.3,23,12292.978
102,2,"drought",20210526,NA,NA,11.78,0.94,6.6195,8.9421,3.2073,NA,0.535,0.1253,0.1539,0.8382,1.3433,4.4738,33.47,8.93,NA,243.21,NA,0.1565,0.1278,0.1566,0.0751,0.0593,0.0722,0.6543,17.01,3.85,NA,191.87,NA,NA,"nothing",122,1.04,"1.16",17,122,0.9,1.09,16,16343.191
103,2,"control",20210518,1.1,1.2,1,7.85,6.966,6.7127,2.6074,1.2105,0.1385,0.0965,0.1148,1.2003,0.995,3.9462,37.43,8.11,NA,240.45,NA,0.145,0.1022,0.1182,0.0633,0.0442,0.0512,228.26,17.97,3.47,NA,176.51,NA,NA,"nothing",127,1.06,"1.17",16,125,1.04,1.03,15,9964.493
104,1,"drought",20210527,NA,NA,9.27,1.24,6.2845,13.4739,3.0946,NA,0.1437,0.1202,0.1229,0.957,1.0207,2.9352,63.16,13.11,83.33,NA,6.0755,0.1457,0.1217,0.1238,0.0669,0.0568,0.0584,0.4988,30.24,6.25,23.82,NA,4848.69,246.2,"nothing",137,1.54,"1.51",18,134,1.24,1.23,18,13050.879
106,2,"drought",20210519,0.6,1.53,6.33,1.06,6,9.2435,2.77,1.23,0.0993,0.1159,0.0877,0.8019,0.6737,4.5247,71.48,19.79,NA,311.62,NA,0.1035,0.1213,0.091,0.0433,0.0496,0.0368,0.2974,37.32,8.65,NA,232.55,NA,NA,"nothing",121,1.35,"1.48",21,111,1.27,1.41,21,7359.66
107,2,"drought",20210602,NA,NA,7.96,1.43,5.708,11.0281,3.1734,NA,0.1254,0.1202,0.103,0.6247,0.9737,15.0797,46.88,14.17,71.1,NA,5.532,0.1288,0.1228,0.106,0.0537,0.0526,0.045,0.4466,23.67,5.79,24.48,NA,4586.07,240.17,"nothing",107,1.68,"1.57",20,106,1.44,1.48,22,10379.588
109,2,"control",20210518,1.74,0.08,1.25,9.95,6.612,13.9943,1.6463,2.2411,0.1285,0.1322,0.1175,1.0403,0.9894,5.6619,46.43,20.43,NA,202.68,NA,0.1327,0.1332,0.1227,0.0592,0.0598,0.0532,161.66,21.66,9.06,NA,146.88,NA,NA,"nothing",121,1.59,"1.62",24,122,1.61,1.49,22,10991.225
110,2,"control",20210601,NA,NA,9.03,1.29,6.257,12.3236,4.424,NA,0.1727,0.1415,0.1593,1.3848,1.0973,3.4276,63.3,23.92,NA,265.67,NA,0.1767,0.1451,0.1641,0.0795,0.0656,0.0724,0.5211,30.52,10.71,NA,NA,NA,NA,"No hay muestra de suelo",136,1.62,"1.54",21,135,1.44,1.36,23,10926.51
111,1,"control",20210601,NA,NA,7.95,1.12,7.1665,8.6401,4.0879,NA,0.1449,0.1181,0.1142,0.9072,1.0419,3.8391,46.44,12.73,53.7,NA,6.9425,0.1467,0.1185,0.1157,0.0718,0.0587,0.0562,0.5507,23.23,6.64,16.93,NA,4536.26,283.6,"El día del muestreo destructivo tenía agua en el plato",119,1.22,"1.41",19,118,1.21,1.17,18,9644.655
112,1,"drought",20210603,NA,NA,7.83,1.48,5.6125,16.1761,8.3589,NA,0.1606,0.1903,0.1685,1.1878,1.0532,5.4779,95.93,26.96,88.87,NA,5.3565,0.1663,0.196,0.1731,0.0793,0.0911,0.0827,0.5251,49.79,13.07,38.33,NA,4286.81,243.83,"nothing",126,1.77,"1.71",27,130.5,1.65,1.64,25,9939.781
114,1,"control",20210610,NA,NA,9.4,1.43,6.5105,NA,7.0398,NA,0.1203,0.1223,0.0818,1.1573,1.1916,2.971,79.62,34.32,NA,238.24,NA,0.12,0.1273,0.0864,0.0565,0.0602,0.0417,0.6116,38.29,16.87,NA,179.2,NA,NA,"nothing",117,1.6,"1.56",23,107.5,1.35,1.3,21,12220.203
116,2,"drought",20210608,1.05,1.05,7.22,1.08,5.4175,7.0863,2.0049,0.9963,0.109,0.0903,0.0936,0.6688,0.6454,5.2954,41.06,13.08,71.88,NA,5.24,0.1136,0.0942,0.0985,0.0521,0.043,0.0435,0.3086,21.84,6.32,27.08,NA,4519.13,246.87,"FW_10LNSC: se escribió mal la fecha en el sobre (20210607, en vez de 20210608)",111,1.19,"1.19",20,111,1.09,1.11,21,7330.488
118,1,"control",20210518,1.4,1.16,8.41,1.39,6.9075,10.4345,2.0909,1.4818,0.1798,0.1465,0.1164,1.0702,1.1241,3.1003,63.24,26.4,NA,228.26,NA,0.1853,0.157,0.1178,0.0818,0.0675,0.0533,0.5236,30.12,11.93,NA,161.66,NA,NA,"nothing",122,1.23,"1.22",23,115,1.03,1.02,21,12654.025
119,1,"control",20210525,NA,NA,9.82,1.4,7.0865,18.0146,3.5763,NA,0.1546,0.1661,0.128,0.8874,0.8364,0.621,85.21,26.11,NA,278.88,NA,0.1566,0.1737,0.1313,0.0758,0.0803,0.0633,0.3386,37.88,12.07,NA,196.33,NA,NA,"nothing",130,1.54,"1.54",26,128,1.4,1.35,25,8434.746
120,1,"control",20210525,NA,NA,10.17,1.4,6.91,14.1597,2.7044,NA,0.1427,0.1225,0.1147,0.6494,0.9486,5.5782,59.99,28.83,NA,252.66,NA,0.1488,0.1256,0.1199,0.0674,0.0588,0.0537,0.4228,27.31,12.81,NA,178.09,NA,NA,"nothing",111,1.35,"1.35",27,110.5,1.15,1.2,24,10052.561
